from,to,from_id,to_id,outflow 17-24,outflow 24-may1,above normal_0,outflow 17-24,outflow 24-may1,above normal_5,outflow 17-24,outflow 24-may1,above normal_10,outflow 17-24,outflow 24-may1,above normal_15,outflow 17-24,outflow 24-may1,above normal_20
Achham,Achham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achham,Arghakhanchi,0,1,3,4,1,3,4,1,3,4,1,3,4,1,3,4,1
Achham,Baglung,0,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1
Achham,Baitadi,0,3,6,17,11,6,17,11,6,17,11,6,17,11,6,17,11
Achham,Bajhang,0,4,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2
Achham,Bajura,0,5,2,17,15,2,17,15,2,17,15,2,17,15,2,17,15
Achham,Banke,0,6,77,191,114,77,191,114,77,191,114,77,191,114,77,191,114
Achham,Bara,0,7,2,6,4,2,6,4,2,6,4,2,6,4,2,6,4
Achham,Bardiya,0,8,83,161,78,83,161,78,83,161,78,83,161,78,83,161,78
Achham,Bhaktapur,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achham,Bhojpur,0,10,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0
Achham,Chitawan,0,11,7,25,18,7,25,18,7,25,18,7,25,18,7,25,18
Achham,Dadeldhura,0,12,29,49,20,29,49,20,29,49,20,29,49,20,29,49,20
Achham,Dailekh,0,13,154,247,93,154,247,93,154,247,93,154,247,93,115,193,78
Achham,Dang,0,14,17,36,19,17,36,19,17,36,19,17,36,19,17,36,19
Achham,Darchula,0,15,2,5,3,2,5,3,2,5,3,2,5,3,2,5,3
Achham,Dhading,0,16,4,6,2,4,6,2,4,6,2,4,6,2,4,6,2
Achham,Dhankuta,0,17,2,8,6,2,8,6,2,8,6,2,8,6,2,8,6
Achham,Dhanusha,0,18,6,14,8,6,14,8,6,14,8,6,14,8,6,14,8
Achham,Dolakha,0,19,3,0,-3,3,0,-3,3,0,-3,3,0,-3,3,0,-3
